nn_parameters_nonrobustiToffoli,nn_parameters_OuterX,nn_parameters_middleX,nn_parameters_robustiToffoli,nn_parameters_robustiCZ
-0.1194029455,0.03130265695,-0.3654608633,-0.149939435,-0.55089426
-0.2441334852,0.09967765404,-0.5069764522,-0.5337319969,-0.0047670463
0.1203761482,0.1109360395,-0.100730978,-0.3209194978,-0.3533129
-0.009151506123,0.08817987677,-0.3200255007,0.4616476661,0.16680217
-0.3173674229,0.04084256476,0.06238831059,0.196363863,-0.41968587
-0.3958801153,-0.01411786237,0.01341090642,-0.2392976279,0.04451967
-0.07919033377,0.005037361214,0.249554542,-0.2107534094,-0.78961354
-0.2772179308,0.1280034879,0.01320310497,-0.3459859811,-0.3926597
-0.01515448154,0.191734471,-0.09403240868,-0.09489632094,-0.80485773
-0.2562406885,-0.2091504483,0.06771590138,-0.2723335431,-0.19029759
0.1204804434,0.1458547205,0.01041517056,0.09902944018,-0.6810533
0.07865926505,0.1769257001,-0.1972382282,0.3621824631,-1.1350862
-0.1232815198,-0.3024518221,0.1137090268,-0.08682523751,0.3308687
0.1932249017,-0.07154808244,-0.04015020161,0.7853722768,-0.68065464
-0.07080677349,0.3204598626,-0.3203980783,-0.3270199642,-0.44248593
-0.2089605798,0.1170729533,-0.155880065,-0.1633043276,-1.2309784
-0.1338786054,-0.07764828798,-0.2015301098,-0.8137077141,1.035489
0.1588333596,-0.02134983885,-0.2893289298,0.6396208328,-1.5396167
0.1902501332,0.08584711596,0.2326302585,1.11781104,-0.27416804
-0.1741200484,0.1235255699,-0.2382896269,0.199015044,2.2770715
0.2434671298,-0.1990217705,-0.1570826473,0.07016959289,0.84375983
0.2058024593,-0.04614830597,0.2198563708,-0.7076353601,0.2130526
0.3401515746,-0.3765385145,-0.06379414219,-0.3535350614,-0.24314587
0.4155726788,0.1659613036,0.2300658924,0.366395226,-0.8667141
-0.04915205514,0.01583999319,0.2281446552,-0.05704546608,-2.1591728
0.3821366265,0.1276762908,-0.2068460144,-0.7929093438,0.43941215
